stars,year
5,2020
4,2019
5,2018
5,2019
5,2019
4,2017
5,2019
5,2019
5,2019
1,2019
5,2019
5,2021
5,2019
5,2018
5,2017
5,2020
4,2019
5,2019
4,2017
5,2020
5,2017
5,2020
5,2020
5,2019
5,2020
5,2019
5,2018
5,2020
5,2019
5,2018
5,2019
5,2021
5,2018
5,2019
5,2017
5,2021
4,2019
5,2020
1,2020
5,2019
5,2021
4,2020
4,2019
5,2014
5,2019
5,2021
1,2020
5,2021
5,2018
5,2019
5,2019
5,2018
5,2016
3,2017
5,2017
3,2017
5,2019
5,2018
5,2019
4,2021
5,2018
4,2021
1,2019
5,2019
5,2021
5,2016
4,2018
5,2021
5,2021
5,2017
5,2018
5,2021
1,2021
5,2019
1,2017
5,2018
5,2020
5,2018
1,2016
5,2018
5,2019
5,2018
5,2019
5,2018
3,2018
4,2019
4,2019
5,2017
2,2018
5,2018
5,2018
5,2018
5,2019
5,2016
1,2014
5,2019
5,2019
5,2020
5,2020
5,2020
3,2020
5,2019
5,2017
5,2020
5,2019
5,2019
4,2016
5,2020
1,2019
5,2018
5,2018
3,2018
5,2021
5,2018
5,2019
5,2018
5,2018
1,2018
5,2017
5,2019
5,2018
5,2019
5,2017
5,2019
1,2018
5,2019
4,2017
5,2020
5,2019
5,2016
3,2019
5,2020
5,2016
5,2020
5,2019
5,2019
5,2020
5,2019
5,2020
5,2019
5,2019
1,2018
5,2018
5,2015
5,2016
4,2019
5,2018
5,2019
5,2020
3,2019
5,2021
5,2019
4,2019
5,2021
5,2018
5,2020
5,2020
5,2019
5,2018
5,2018
5,2018
4,2019
4,2019
5,2020
3,2018
5,2018
5,2020
3,2021
5,2019
5,2019
5,2016
2,2020
5,2021
5,2019
5,2019
4,2020
5,2018
4,2020
4,2018
5,2017
5,2021
5,2018
5,2020
5,2019
5,2021
5,2017
4,2019
5,2020
5,2018
5,2021
5,2019
5,2018
1,2018
5,2020
4,2018
5,2017
5,2020
5,2020
5,2017
5,2021
5,2021
4,2021
5,2020
5,2021
4,2016
5,2019
5,2019
5,2018
5,2019
5,2017
5,2019
4,2017
5,2020
1,2019
5,2020
4,2018
5,2020
4,2017
5,2019
5,2020
5,2018
5,2019
5,2020
4,2020
2,2020
5,2018
5,2019
5,2019
5,2021
5,2019
5,2021
5,2017
4,2018
5,2019
5,2021
5,2017
5,2021
3,2018
5,2019
5,2019
1,2017
5,2021
5,2018
5,2017
5,2020
5,2019
5,2020
3,2018
5,2018
3,2020
